player_id,real_name,player_dob,player_position,place_of_birth,nationality,height_ft,height_cm,weight_st,weight_kg
9299,Jason Price,1977-04-12,Forward,Pontypridd,Wales,6ft 1in,185.0,11st 3lb,71.2
16024,Adam Proudlock,1981-05-09,Forward,Wellington,England,6ft,183.0,13st 2lb,83.45
16511,Marvin Robinson,1980-04-11,Forward,Crewe,England,6ft,183.0,12st 13lb,82.09
8393,Keith Welch,1968-10-03,Goalkeeper,Bolton,England,6ft,183.0,12st,76.19
8463,Philip Whitehead,1969-12-17,Goalkeeper,Halifax,England,6ft 3in,191.0,13st 7lb,85.71
122,Wayne Allison,1968-10-16,Forward,Huddersfield,England,6ft 1in,185.0,14st 5lb,91.16
9801,David Challinor,1975-10-02,Defender,Chester,England,6ft 1in,185.0,12st,76.19
2564,Sean Flynn,1968-03-13,Midfielder,Birmingham,England,5ft 8in,173.0,11st 8lb,73.47
2866,Wayne Gill,1975-11-28,Midfielder,Chorley,England,5ft 10in,178.0,11st 3lb,71.2
15022,Reuben Hazell,1979-04-24,Defender,Birmingham,England,5ft 11in,180.0,11st 11lb,74.83
3433,Nicholas Henry,1969-02-21,Midfielder,Liverpool,England,5ft 6in,168.0,9st 8lb,60.77
10720,Clinton Hill,1978-10-19,Defender,Liverpool,England,6ft,183.0,11st 4lb,71.66
3920,Richard Jobson,1963-05-09,Defender,Hull,England,6ft 1in,185.0,13st 5lb,84.81
5578,Alan Morgan,1973-11-02,Defender,Aberystwyth,Wales,5ft 9in,175.0,10st 12lb,68.94
24672,Andrew Ralph,1983-05-28,Goalkeeper,Manchester,England,6ft 1in,185.0,14st 1lb,89.34
6723,Paul Rideout,1964-08-14,Forward,Bournemouth,England,5ft 11in,180.0,12st 1lb,76.64
28843,Craig Taylor,,NA,,England,,,,
26299,Sean Thornton,1983-05-18,Midfielder,Drogheda,Ireland,5ft 10in,178.0,11st,69.84
8750,Steve Yates,1970-01-29,Defender,Bristol,England,5ft 11in,180.0,12st,76.19
19812,Paul Aldridge,1981-12-02,Forward,Liverpool,England,5ft 11in,180.0,11st 6lb,72.56
3210,Derrick Hamilton,1976-08-15,Midfielder,Bradford,England,5ft 11in,180.0,14st,88.89
4118,Jeffrey Kenna,1970-08-27,Defender,Dublin,Ireland,5ft 11in,180.0,12st 2lb,77.1
13521,Thomas Myhre,1973-10-16,Goalkeeper,"Sarpsborg, Norway",Norway,6ft 2in,188.0,13st,82.54
